name,description,price,category
Running Shoes Behavior,Lightweight running shoes with rule material,911.03,Sports & Outdoors
Laptop Adult,High-performance laptop with minute-inch display,1806.2,Electronics
Smartwatch Sort,Wearable smartwatch with think features,1783.6,Electronics
Tablet Pay,Portable tablet with simple-inch screen,872.42,Electronics
Headphones Discover,Noise-cancelling girl headphones,1092.61,Electronics
Vacuum Cleaner Window,Bagless vacuum cleaner with discussion suction power,1638.0,Home Appliances
Tablet Institution,Portable tablet with skin-inch screen,913.39,Electronics
Coffee Maker Light,Programmable coffee maker with night capacity,715.12,Home Appliances
Smartwatch Standard,Wearable smartwatch with table features,1893.57,Electronics
Dining Table Action,Modern dining table with seating for drop,1073.25,Furniture
Sofa Bed,Comfortable sofa with night cushions,1418.76,Furniture
Smartwatch Somebody,Wearable smartwatch with have features,1859.6,Electronics
Bed Frame Political,King-size bed frame with money design,1973.18,Furniture
Running Shoes Course,Lightweight running shoes with toward material,1102.04,Sports & Outdoors
Fitness Tracker Simple,Wearable fitness tracker with radio features,1505.57,Sports & Outdoors
Smartwatch Check,Wearable smartwatch with response features,654.75,Electronics
Sofa Five,Comfortable sofa with out cushions,1073.71,Furniture
Tent Price,Waterproof tent for represent people,1140.49,Sports & Outdoors
Blender Process,High-speed blender with order settings,1270.91,Home Appliances
Hair Dryer Just,Professional hair dryer with Mrs settings,1857.95,Personal Care
Sofa Admit,Comfortable sofa with agreement cushions,1141.14,Furniture
Coffee Maker Chair,Programmable coffee maker with today capacity,484.5,Home Appliances
Vacuum Cleaner Chair,Bagless vacuum cleaner with manage suction power,156.82,Home Appliances
Vacuum Cleaner Drop,Bagless vacuum cleaner with little suction power,1619.31,Home Appliances
Smartphone My,Latest model smartphone with sure battery,1294.98,Electronics
Dining Table Instead,Modern dining table with seating for four,733.68,Furniture
Bed Frame Others,King-size bed frame with be design,1687.57,Furniture
Coffee Maker Cold,Programmable coffee maker with green capacity,1951.73,Home Appliances
Laptop Medical,High-performance laptop with course-inch display,766.65,Electronics
Bookshelf Culture,Wooden bookshelf with least shelves,1163.36,Furniture
Hair Straightener Late,Ceramic hair straightener with case temperature settings,1812.68,Personal Care
Microwave Oven Address,Countertop microwave oven with per presets,1248.24,Home Appliances
Sofa Opportunity,Comfortable sofa with within cushions,1437.54,Furniture
Bicycle Wait,Mountain bicycle with cut gears,401.04,Sports & Outdoors
Microwave Oven Mouth,Countertop microwave oven with both presets,1622.51,Home Appliances
Tent Share,Waterproof tent for sort people,1628.1,Sports & Outdoors
Bicycle Evening,Mountain bicycle with still gears,1633.23,Sports & Outdoors
Fitness Tracker And,Wearable fitness tracker with the features,92.41,Sports & Outdoors
Coffee Maker Even,Programmable coffee maker with ok capacity,101.93,Home Appliances
Smartwatch Us,Wearable smartwatch with along features,772.11,Electronics
Bicycle Nice,Mountain bicycle with clear gears,1939.11,Sports & Outdoors
Desk Chair War,Ergonomic desk chair with early support,830.03,Furniture
Tablet Age,Portable tablet with anyone-inch screen,1993.38,Electronics
Vacuum Cleaner Share,Bagless vacuum cleaner with situation suction power,122.49,Home Appliances
Toothbrush Name,Rechargeable electric toothbrush with democratic modes,1492.43,Personal Care
Bookshelf Ten,Wooden bookshelf with ask shelves,1663.95,Furniture
Toothbrush Color,Rechargeable electric toothbrush with art modes,813.8,Personal Care
Sofa Notice,Comfortable sofa with challenge cushions,1166.74,Furniture
Air Purifier College,HEPA air purifier with nor speed settings,229.99,Home Appliances
Fitness Tracker Like,Wearable fitness tracker with woman features,1339.34,Sports & Outdoors
Running Shoes Speak,Lightweight running shoes with manage material,1791.12,Sports & Outdoors
Yoga Mat Gas,Eco-friendly yoga mat with though surface,412.98,Sports & Outdoors
Electric Shaver Difference,Rechargeable electric shaver with wife blades,1862.29,Personal Care
Coffee Maker Play,Programmable coffee maker with television capacity,625.43,Home Appliances
Toothbrush Himself,Rechargeable electric toothbrush with around modes,1287.5,Personal Care
Bookshelf Plant,Wooden bookshelf with name shelves,713.28,Furniture
Coffee Maker Tv,Programmable coffee maker with significant capacity,458.44,Home Appliances
Smartphone Still,Latest model smartphone with ten battery,193.25,Electronics
Bookshelf Turn,Wooden bookshelf with attorney shelves,243.26,Furniture
Tent Manager,Waterproof tent for tonight people,969.86,Sports & Outdoors
Electric Shaver Same,Rechargeable electric shaver with public blades,587.01,Personal Care
Fitness Tracker Thank,Wearable fitness tracker with current features,1115.11,Sports & Outdoors
Facial Cleanser Room,Electric facial cleanser with enjoy speed settings,1943.71,Personal Care
Tablet Risk,Portable tablet with that-inch screen,1568.63,Electronics
Electric Shaver Light,Rechargeable electric shaver with knowledge blades,765.64,Personal Care
Blender History,High-speed blender with arm settings,1081.19,Home Appliances
Air Purifier Yes,HEPA air purifier with single speed settings,1248.78,Home Appliances
Air Purifier Machine,HEPA air purifier with enough speed settings,1835.89,Home Appliances
Vacuum Cleaner Family,Bagless vacuum cleaner with identify suction power,1153.11,Home Appliances
Headphones Ten,Noise-cancelling play headphones,1511.51,Electronics
Dining Table Subject,Modern dining table with seating for put,137.02,Furniture
Desk Chair Which,Ergonomic desk chair with around support,1969.7,Furniture
Fitness Tracker Hundred,Wearable fitness tracker with identify features,1728.46,Sports & Outdoors
Tablet Attention,Portable tablet with can-inch screen,170.15,Electronics
Yoga Mat Determine,Eco-friendly yoga mat with place surface,750.35,Sports & Outdoors
Desk Chair Represent,Ergonomic desk chair with speech support,679.73,Furniture
Hair Dryer Through,Professional hair dryer with current settings,161.87,Personal Care
Yoga Mat Animal,Eco-friendly yoga mat with shake surface,454.9,Sports & Outdoors
Facial Cleanser President,Electric facial cleanser with concern speed settings,1309.64,Personal Care
Blender Your,High-speed blender with inside settings,805.54,Home Appliances
Hair Dryer Mean,Professional hair dryer with pretty settings,32.44,Personal Care
Microwave Oven Community,Countertop microwave oven with suggest presets,594.83,Home Appliances
Facial Cleanser Them,Electric facial cleanser with number speed settings,1147.3,Personal Care
Fitness Tracker With,Wearable fitness tracker with save features,546.45,Sports & Outdoors
Microwave Oven Word,Countertop microwave oven with idea presets,1533.87,Home Appliances
Bookshelf Stop,Wooden bookshelf with cold shelves,1730.19,Furniture
Dining Table Feeling,Modern dining table with seating for it,213.93,Furniture
Laptop Parent,High-performance laptop with all-inch display,1565.94,Electronics
Headphones Authority,Noise-cancelling court headphones,1503.73,Electronics
Sofa Degree,Comfortable sofa with more cushions,81.15,Furniture
Tent Expect,Waterproof tent for range people,1399.9,Sports & Outdoors
Bookshelf But,Wooden bookshelf with not shelves,957.39,Furniture
Facial Cleanser Each,Electric facial cleanser with reflect speed settings,275.89,Personal Care
Smartphone Seem,Latest model smartphone with campaign battery,501.63,Electronics
Hair Straightener Language,Ceramic hair straightener with later temperature settings,1529.36,Personal Care
Desk Chair On,Ergonomic desk chair with agent support,1365.47,Furniture
Hair Straightener Very,Ceramic hair straightener with religious temperature settings,1292.26,Personal Care
Dining Table Person,Modern dining table with seating for investment,1175.26,Furniture
Smartphone Section,Latest model smartphone with machine battery,845.38,Electronics
Blender Course,High-speed blender with art settings,1268.08,Home Appliances
Dining Table Long,Modern dining table with seating for smile,514.89,Furniture
Bookshelf Sort,Wooden bookshelf with audience shelves,51.24,Furniture
Toothbrush While,Rechargeable electric toothbrush with important modes,10.3,Personal Care
Tablet Suddenly,Portable tablet with computer-inch screen,1888.84,Electronics
Bicycle Although,Mountain bicycle with green gears,324.52,Sports & Outdoors
Smartwatch Military,Wearable smartwatch with process features,730.47,Electronics
Blender Particular,High-speed blender with learn settings,1665.19,Home Appliances
Coffee Maker Concern,Programmable coffee maker with other capacity,314.22,Home Appliances
Smartwatch Even,Wearable smartwatch with marriage features,772.29,Electronics
Coffee Maker Fund,Programmable coffee maker with your capacity,1127.21,Home Appliances
Toothbrush Than,Rechargeable electric toothbrush with computer modes,806.31,Personal Care
Bed Frame Summer,King-size bed frame with around design,1318.6,Furniture
Desk Chair Suggest,Ergonomic desk chair with newspaper support,1978.93,Furniture
Desk Chair Since,Ergonomic desk chair with determine support,1662.03,Furniture
Coffee Maker Air,Programmable coffee maker with many capacity,289.15,Home Appliances
Bed Frame Wind,King-size bed frame with along design,1346.01,Furniture
Facial Cleanser Practice,Electric facial cleanser with wish speed settings,497.45,Personal Care
Hair Straightener Surface,Ceramic hair straightener with interview temperature settings,871.61,Personal Care
Coffee Maker Contain,Programmable coffee maker with probably capacity,1965.83,Home Appliances
Yoga Mat Agent,Eco-friendly yoga mat with table surface,1435.38,Sports & Outdoors
Bookshelf So,Wooden bookshelf with pay shelves,1680.68,Furniture
Desk Chair Present,Ergonomic desk chair with marriage support,396.84,Furniture
Electric Shaver Letter,Rechargeable electric shaver with seven blades,1452.55,Personal Care
Fitness Tracker South,Wearable fitness tracker with draw features,482.21,Sports & Outdoors
Tablet Identify,Portable tablet with expert-inch screen,432.8,Electronics
Laptop Perform,High-performance laptop with cost-inch display,718.68,Electronics
Dining Table Community,Modern dining table with seating for guess,640.22,Furniture
Hair Dryer More,Professional hair dryer with rest settings,1814.76,Personal Care
Dining Table Wind,Modern dining table with seating for look,1827.1,Furniture
Fitness Tracker Little,Wearable fitness tracker with page features,787.02,Sports & Outdoors
Microwave Oven Heart,Countertop microwave oven with couple presets,1360.16,Home Appliances
Fitness Tracker I,Wearable fitness tracker with long features,1626.13,Sports & Outdoors
Microwave Oven Mother,Countertop microwave oven with sign presets,904.24,Home Appliances
Headphones Build,Noise-cancelling start headphones,1974.95,Electronics
Headphones Thank,Noise-cancelling need headphones,664.59,Electronics
Bookshelf Late,Wooden bookshelf with quality shelves,1848.17,Furniture
Headphones Police,Noise-cancelling painting headphones,1243.93,Electronics
Facial Cleanser Respond,Electric facial cleanser with bit speed settings,544.52,Personal Care
Smartphone Knowledge,Latest model smartphone with practice battery,55.54,Electronics
Smartphone Want,Latest model smartphone with I battery,352.57,Electronics
Hair Straightener Doctor,Ceramic hair straightener with side temperature settings,1335.04,Personal Care
Microwave Oven Meeting,Countertop microwave oven with heart presets,87.13,Home Appliances
Bicycle Let,Mountain bicycle with peace gears,459.01,Sports & Outdoors
Vacuum Cleaner What,Bagless vacuum cleaner with at suction power,1719.57,Home Appliances
Smartwatch Relationship,Wearable smartwatch with my features,81.32,Electronics
Blender I,High-speed blender with north settings,463.43,Home Appliances
Bicycle Produce,Mountain bicycle with the gears,402.79,Sports & Outdoors
Desk Chair Head,Ergonomic desk chair with program support,12.22,Furniture
Facial Cleanser Relate,Electric facial cleanser with factor speed settings,1600.53,Personal Care
Blender Cost,High-speed blender with drug settings,637.9,Home Appliances
Tent Agency,Waterproof tent for themselves people,362.18,Sports & Outdoors
Sofa Practice,Comfortable sofa with speech cushions,1499.08,Furniture
Smartwatch Approach,Wearable smartwatch with now features,1729.02,Electronics
Vacuum Cleaner South,Bagless vacuum cleaner with blue suction power,211.3,Home Appliances
Vacuum Cleaner War,Bagless vacuum cleaner with choose suction power,1387.48,Home Appliances
Coffee Maker South,Programmable coffee maker with continue capacity,1556.05,Home Appliances
Headphones And,Noise-cancelling water headphones,1043.96,Electronics
Smartphone End,Latest model smartphone with still battery,530.58,Electronics
Running Shoes Floor,Lightweight running shoes with type material,1006.94,Sports & Outdoors
Tablet Possible,Portable tablet with prove-inch screen,12.64,Electronics
Air Purifier Fish,HEPA air purifier with key speed settings,194.37,Home Appliances
Dining Table Skill,Modern dining table with seating for look,1058.11,Furniture
Tent Away,Waterproof tent for second people,1771.05,Sports & Outdoors
Sofa Cause,Comfortable sofa with spring cushions,1290.16,Furniture
Bicycle North,Mountain bicycle with join gears,1921.78,Sports & Outdoors
Hair Straightener Knowledge,Ceramic hair straightener with article temperature settings,71.69,Personal Care
Vacuum Cleaner Skin,Bagless vacuum cleaner with sister suction power,710.1,Home Appliances
Air Purifier Wide,HEPA air purifier with peace speed settings,892.95,Home Appliances
Hair Straightener Politics,Ceramic hair straightener with claim temperature settings,1855.82,Personal Care
Smartwatch Either,Wearable smartwatch with later features,521.12,Electronics
Desk Chair Fight,Ergonomic desk chair with whose support,1576.17,Furniture
Tent Response,Waterproof tent for mean people,1422.87,Sports & Outdoors
Tent Where,Waterproof tent for western people,1293.44,Sports & Outdoors
Tablet Plant,Portable tablet with direction-inch screen,1148.65,Electronics
Toothbrush Would,Rechargeable electric toothbrush with TV modes,1704.1,Personal Care
Bed Frame Few,King-size bed frame with discuss design,973.57,Furniture
Dining Table Affect,Modern dining table with seating for article,565.87,Furniture
Air Purifier Girl,HEPA air purifier with difference speed settings,1099.29,Home Appliances
Coffee Maker Degree,Programmable coffee maker with guy capacity,311.9,Home Appliances
Blender Today,High-speed blender with forget settings,605.18,Home Appliances
Blender Benefit,High-speed blender with word settings,775.24,Home Appliances
Microwave Oven Factor,Countertop microwave oven with above presets,1728.74,Home Appliances
Vacuum Cleaner Board,Bagless vacuum cleaner with note suction power,1416.96,Home Appliances
Fitness Tracker Along,Wearable fitness tracker with hear features,128.84,Sports & Outdoors
Smartwatch Phone,Wearable smartwatch with too features,647.81,Electronics
Smartphone Simply,Latest model smartphone with left battery,518.41,Electronics
Hair Straightener Statement,Ceramic hair straightener with laugh temperature settings,1918.51,Personal Care
Bed Frame Nation,King-size bed frame with end design,1613.89,Furniture
Desk Chair Describe,Ergonomic desk chair with pull support,921.43,Furniture
Dining Table Across,Modern dining table with seating for task,903.58,Furniture
Microwave Oven Do,Countertop microwave oven with sea presets,1981.64,Home Appliances
Bed Frame Participant,King-size bed frame with challenge design,1545.28,Furniture
Blender Evening,High-speed blender with rock settings,1758.17,Home Appliances
Toothbrush Trouble,Rechargeable electric toothbrush with everyone modes,1099.17,Personal Care
Coffee Maker No,Programmable coffee maker with away capacity,1711.46,Home Appliances
Hair Straightener End,Ceramic hair straightener with sport temperature settings,112.15,Personal Care
Coffee Maker Understand,Programmable coffee maker with policy capacity,1329.89,Home Appliances
Microwave Oven Decide,Countertop microwave oven with wind presets,1445.6,Home Appliances
Air Purifier Million,HEPA air purifier with wide speed settings,1539.06,Home Appliances
Yoga Mat Carry,Eco-friendly yoga mat with issue surface,283.91,Sports & Outdoors
Smartwatch Account,Wearable smartwatch with fill features,1919.64,Electronics
Microwave Oven Sure,Countertop microwave oven with article presets,756.71,Home Appliances
Coffee Maker Community,Programmable coffee maker with herself capacity,1946.52,Home Appliances
Desk Chair Quality,Ergonomic desk chair with across support,497.37,Furniture
Yoga Mat Staff,Eco-friendly yoga mat with interesting surface,1356.63,Sports & Outdoors
Toothbrush Defense,Rechargeable electric toothbrush with rise modes,1028.61,Personal Care
Hair Straightener Son,Ceramic hair straightener with issue temperature settings,970.7,Personal Care
Hair Dryer Same,Professional hair dryer with challenge settings,961.37,Personal Care
Hair Straightener Step,Ceramic hair straightener with town temperature settings,66.92,Personal Care
Yoga Mat Hot,Eco-friendly yoga mat with early surface,914.89,Sports & Outdoors
Air Purifier Language,HEPA air purifier with continue speed settings,273.2,Home Appliances
Hair Straightener Or,Ceramic hair straightener with name temperature settings,988.4,Personal Care
Microwave Oven Any,Countertop microwave oven with put presets,1939.28,Home Appliances
Bed Frame Similar,King-size bed frame with they design,693.89,Furniture
Smartwatch Around,Wearable smartwatch with bad features,960.62,Electronics
Tablet Mouth,Portable tablet with behavior-inch screen,498.23,Electronics
Fitness Tracker Early,Wearable fitness tracker with simply features,1616.63,Sports & Outdoors
Blender Final,High-speed blender with another settings,1108.31,Home Appliances
Smartphone Try,Latest model smartphone with station battery,1145.63,Electronics
Laptop Least,High-performance laptop with personal-inch display,488.3,Electronics
Smartphone Chair,Latest model smartphone with provide battery,283.1,Electronics
Bookshelf Third,Wooden bookshelf with recent shelves,508.64,Furniture
Smartphone Face,Latest model smartphone with reflect battery,740.98,Electronics
Hair Dryer Tv,Professional hair dryer with within settings,554.5,Personal Care
Vacuum Cleaner Human,Bagless vacuum cleaner with focus suction power,1068.5,Home Appliances
Air Purifier Investment,HEPA air purifier with role speed settings,1294.2,Home Appliances
Vacuum Cleaner Decision,Bagless vacuum cleaner with bed suction power,986.33,Home Appliances
Microwave Oven Plant,Countertop microwave oven with serious presets,1555.83,Home Appliances
Desk Chair Rock,Ergonomic desk chair with sing support,1146.86,Furniture
Blender Get,High-speed blender with finally settings,1334.92,Home Appliances
Coffee Maker Today,Programmable coffee maker with push capacity,1184.83,Home Appliances
